id,name,category,type,price
98,全農食品　長野県産りんごひとくちドライフルーツ,food,snack,230
99,ロッテ　アーモンドチョコレートくちどけティラミス,food,snack,270
100,ツンとした辛さがクセになるわさび柿ピー,food,snack,138
101,シビれる辛さがクセになる麻辣花生,food,snack,138
102,8種類のおいしさ和菓子ミックス,food,snack,298
103,亀田　技のこだ割り　梅味,food,snack,140
104,2種ミックスストロベリーチョコ,food,snack,298
105,練乳ゼリー入りひとくち苺チョコ,food,snack,138
106,なめらかな口どけいちごプリンチョコ,food,snack,149
107,程よい酸味と甘さいちご&ミルククッキー,food,snack,278
108,明治　メルティーキッスとろけるホワイトパウチ ,food,snack,162
109,やみつきポテトうまみ塩味,food,snack,158
110,驚きのくちどけまるでバターチョコ,food,snack,158
111,かぶりつきカルパス　プレーン,food,snack,103
112,こんがり揚げたカリッとぎんなん,food,snack,180
113,こんがり揚げたカリッとにんにく,food,snack,158
114,かぶりつきカルパス　辛口,food,snack,103
115,キャラメル仕立て3種のミックスナッツチョコ,food,snack,250
116,2つの美味しさフィッシュ&チップス風スナック,food,snack,138
117,すっきりとした酸味ひとくちカリカリ梅,food,snack,158
118,しっとり食感ガトーショコラ風チョコ,food,snack,138
119,ピンクと白が華やかな2層のストロベリーチョコ,food,snack,298
120,バターの芳醇な香りご褒美バターパイ,food,snack,168
121,至福のザクザク食感ご褒美ミルフィーユ,food,snack,168
122,厳選10種のおつまみミックス,food,snack,108
123,素材の旨み皮つきさきいか　大袋,food,snack,321
124,風味が豊かなチーズ鱈(R)　大袋,food,snack,321
125,沖縄の塩シママース使用ソフト塩せんべい,food,snack,118
126,サクッとおいしい玄米おこげせん,food,snack,108
127,海老の風味豊かなえび満月,food,snack,108
128,一口サイズのやわらかイカフライ,food,snack,321
129,素材の風味を活かした炙りいかそうめん　大袋,food,snack,321
130,ピリ辛が後を引く焼きかまぼこ　大袋,food,snack,321
131,三立製菓　チョコバットプレミアム　ほろにがチョコ&アーモンドプラリネ,food,snack,54
132,風味が豊かなチーズ鱈(R),food,snack,138
133,スパイシーなビーフジャーキー,food,snack,138
134,こだわりの揚げ餅わさび味,food,snack,128
135,こだわりのうに揚げせん,food,snack,128
136,こだわりの黒豆おかき,food,snack,128
137,こだわりのあられ塩味,food,snack,128
138,こだわりのあられ醤油味,food,snack,128
139,こだわりの揚げ餅塩味,food,snack,128
140,ポテトチップスはちみつバター味,food,snack,108
141,カリッと香ばしいアーモンドチョコレート,food,snack,198
142,コク深い味わいマカダミアナッツチョコレート,food,snack,198
143,濃厚な味わいピスタチオチョコレート,food,snack,198
144,アーモンド、ヘーゼルナッツ使用2種ナッツのクランチチョコ,food,snack,198
145,スッキリとした苦味珈琲ビーンズチョコレート,food,snack,198
146,香ばしい味わいくるみチョコレート,food,snack,198
147,吉村甘露堂　海苔巻おかき,food,snack,198
148,焼いても美味しいふわもちマシュマロ,food,snack,108
149,とんがりcornあっさり塩,food,snack,108
150,ポップコーン濃厚キャラメル味,food,snack,149
151,厚切りポテトチップスサワークリームオニオン味,food,snack,138
152,人気4種のおつまみアソート,food,snack,398
153,ボリュームたっぷりラーメン柿ピー,food,snack,328
154,塩と油を使っていないミックスナッツ,food,snack,538
155,6種の味わいミックスナッツ,food,snack,320
156,カリッと香ばしい焼きとうもろこしスナック,food,snack,108
157,クリームインスティックやみつきサラミ味,food,snack,108
158,ザクッと食感エアインチーズ,food,snack,140
159,塩と油を使っていない4種のミックスナッツ,food,snack,320
160,人気のナッツをセレクトミックスナッツ,food,snack,320
161,波型厚切りポテトチップスしょうゆマヨ味,food,snack,213
162,みりんの旨み濃厚えび大判焼き,food,snack,108
163,スナックコンボステーキ&ペッパー味,food,snack,213
164,完熟ドライみかん,food,snack,180
165,ミルクとココアのミニクッキー,food,snack,108
166,北海道産皮つき鮭とば,food,snack,408
167,バナナチップチョコ,food,snack,149
168,ごま油の風味豊かないか天&のり天,food,snack,108
169,トルティーヤチップス　スパイシータコス味,food,snack,108
170,ちいさなオールレーズン,food,snack,118
171,か～るいチーズスナック,food,snack,108
172,じゃがスティックあっさりうま塩味,food,snack,108
173,サクサク食感のプレーンビスケット,food,snack,108
174,とろける食感のキャラメルコーン,food,snack,108
175,ポリンキー濃いめんたい味,food,snack,108
176,地中海育ちの種ぬきデーツ,food,snack,180
177,オー・ザック　コク旨バーベキュー味,food,snack,108
178,直火で焼き上げた胡麻せんべい,food,snack,108
179,ひとくちいちじくチョコ,food,snack,198
180,6種類のおいしさビスケット&ケーキアソート,food,snack,298
181,8種類のおいしさチョコレートアソート,food,snack,268
182,ひとくちサイズのミルクチョコレート,food,snack,268
183,ひねり揚げ濃厚海老だし味,food,snack,108
184,やさしい甘みの鈴カステラ,food,snack,108
185,チョコマシュマロ,food,snack,108
186,3種チーズのチーズインスティック,food,snack,108
187,ミニルマンド,food,snack,108
188,ポテトチップス　濃厚コンソメ味,food,snack,108
189,ブラック3チョコ,food,snack,138
190,肉の旨みがクセになる　ジャッキーカルパス,food,snack,311
191,甘みと酸味が絶妙な種ぬき干し梅,food,snack,158
192,完熟ドライマンゴー,food,snack,180
193,完熟ドライパイナップル,food,snack,180
194,サッポロポテトバーベQあじ,food,snack,108
195,濃厚な海老の風味　ふわっと揚げ,food,snack,108
196,スパイシーでコク深い濃厚カレーせん,food,snack,108
197,北海道産昆布を使用おしゃぶり昆布紀州梅,food,snack,138
198,バニラクリームサンドクラッカー,food,snack,118
199,えんどう豆100%使用えんどう豆スナック,food,snack,108
200,ひとくちサイズのチョコチップクッキー,food,snack,108
201,こんがり香ばしい焼きえいひれ,food,snack,216
202,超厚切りビーフジャーキー,food,snack,410
203,紀州南高梅の梅酢仕立て茎わかめ,food,snack,158
204,瀬戸内海産小魚を使用アーモンド小魚,food,snack,128
205,スーパーおっとっとうすしお味,food,snack,108
206,かむほど旨いあたりめ,food,snack,138
207,かむほど旨い焼きするめげそ,food,snack,138
208,ポテトチップス辛旨チリ味,food,snack,108
209,二度焼き醤油せんべい,food,snack,108
210,ベビースターラーメン丸香ばしチキン味,food,snack,108
211,6種の唐辛子使用　暴君ハバネロ,food,snack,108
212,ほんのり塩味枝豆スナック,food,snack,108
213,ほどよい辛さのあらびきスライスサラミ,food,snack,410
214,なげわうま塩味,food,snack,108
215,厚切りポテトチップスバター醤油味,food,snack,138
216,チョコを味わうコーンチョコ,food,snack,108
217,ポテトチップス濃いめのり塩,food,snack,108
218,昔ながらのおいしさひとくち歌舞伎揚,food,snack,108
219,波型厚切りポテトチップスうましお味,food,snack,213
220,波型厚切りポテトチップスのりしお味,food,snack,213
221,ポテトチップス絶品うすしお味,food,snack,108
222,深煎りピーナッツのピーナッツチョコ,food,snack,108
223,無着色のひとくちカリカリ梅,food,snack,158
224,マヨネーズ付きあたりめ,food,snack,321
225,旨みのきいた塩で味付けしたいか天＆のり天,food,snack,108
226,なめらかプリンチョコ,food,snack,138
227,うす焼せんべいあっさり塩味,food,snack,108
228,ふんわりソフトさきいか,food,snack,311
229,チョコがたっぷりチョコシュー,food,snack,108
230,天然えびをたっぷり使用リッチかっぱえびせん,food,snack,108
231,胡麻の風味が豊かな黒糖かりんとう,food,snack,108
232,かわいいチョコビスケットのさくさくぱんだ,food,snack,118
233,やわらか身厚の燻製さきいか,food,snack,138
234,ごまの風味が香ばしいミニアスパラガス,food,snack,108
235,風味豊かなカシューナッツ,food,snack,348
236,２種のローストナッツ　カシューナッツ＆アーモンド,food,snack,198
237,サクッと軽く香ばしい麦チョコ,food,snack,108
238,なめらかなチョコを味わうチョコビスケット,food,snack,108
239,黒胡椒が香る　ビーフジャーキー,food,snack,408
240,ひとくちサイズのおにぎりせんべい,food,snack,108
241,２種のカカオをブレンドしたチョコフレーク,food,snack,108
242,素材の風味を活かした　炙りいかそうめん,food,snack,138
243,5種のナッツ&フルーツ,food,snack,170
244,焼するめ　ピリ辛醤油味,food,snack,158
245,コーンスナックコーンポタージュ味,food,snack,108
246,カリッと香ばしいバタピー,food,snack,138
247,2種の醤油で仕上げたあとひき柿ピー,food,snack,138
248,国産米粉のサクッとピーナッツ揚げ,food,snack,108
249,みりん醤油風味パリパリいかせん,food,snack,108
250,ふんわりポップコーンあっさりしお味,food,snack,108
251,塩と油を使ってない素焼きのアーモンド,food,snack,138
252,しっとり食感のひとくちカステラ,food,snack,108
253,香ばしい焼貝ひも,food,snack,138
254,種ぬきはちみつ干し梅,food,snack,158
255,サクッと香ばしい小さなチョコの木,food,snack,108
256,ピリ辛が後を引く焼きかまぼこ,food,snack,108
257,カリッとローストピスタチオ,food,snack,388
258,桜チップで薫製したうずらたまご,food,snack,250
259,まろやかミニバタークッキー,food,snack,108
260,ひとくちサイズの練乳はちみつドーナツ,food,snack,108
261,スパイスが効いたジャッキーカルパス,food,snack,306
262,サクサクとろけるしみチョココーン,food,snack,108
263,おつまみイカフライ,food,snack,108
264,ファミチキ,food,friedfood,180
265,スパイシーチキン,food,friedfood,145
266,アメリカンドッグ,food,friedfood,108
